codigo_stn,ano,estado,tipo_corpo_agua,ph_medio,oxigenio_dissolvido_medio,nitrato_medio_mg_l,coliformes_totais_medio,coliformes_fecais_medio,temperatura_media_c,condutividade_media,bod_medio_mg_l
4378,2021,ANDHRA PRADESH,BEACH,7.4,4.35,1.05,71.83313998427188,3.0,27.5,46350.0,2.4
4383,2021,ANDHRA PRADESH,MARINE,7.55,4.45,1.6,71.83313998427188,3.0,23.0,44300.0,2.4
4385,2021,ANDHRA PRADESH,BEACH,7.55,4.75,1.1,46.24932431938871,3.0,23.5,45550.0,2.5
4386,2021,ANDHRA PRADESH,BEACH,7.4,4.6,1.2000000000000002,52.53570214625479,3.0,23.5,46000.0,2.6
4387,2021,ANDHRA PRADESH,MARINE,7.55,4.65,1.15,52.53570214625479,3.0,20.5,45300.0,2.6
2267,2021,GOA,CREEK,7.15,6.1,2.05,2321.63735324878,727.3238618387272,28.5,25920.5,
4013,2021,GOA,BEACH,7.899999999999999,7.050000000000001,0.4,212.3205124334434,55.85696017507576,29.0,43950.0,
4014,2021,GOA,BEACH,7.5,6.75,0.55,107.47092630102338,74.29670248402684,28.0,38290.0,
4015,2021,GOA,BEACH,7.2,6.55,0.3,190.78784028338916,69.57010852370435,28.5,46275.0,1.5
4016,2021,GOA,BEACH,8.0,6.85,1.35,145.46477236774544,67.45368781616021,29.5,42315.0,
4017,2021,GOA,BEACH,7.25,6.449999999999999,0.55,133.49157276772192,72.6636084983398,29.5,41940.0,
2354,2021,ANDHRA PRADESH,CANAL,7.699999999999999,4.4,1.5,158.74507866387543,15.198684153570664,25.5,369.0,2.9
2355,2021,ANDHRA PRADESH,CANAL,7.3,4.15,2.35,310.80540535840106,24.24871130596428,27.0,12962.5,4.5
3051,2021,ANDHRA PRADESH,CANAL,7.550000000000001,6.0,2.25,464.9731175025068,3.0,25.0,1400.0,4.6
4356,2021,ANDHRA PRADESH,CANAL,7.300000000000001,6.75,0.95,105.64090116995403,7.937253933193772,27.0,294.0,1.8
4370,2021,ANDHRA PRADESH,CANAL,7.4,4.4,1.4,189.73665961010275,15.198684153570664,25.0,678.5,2.9000000000000004
4374,2021,ANDHRA PRADESH,CANAL,7.55,5.35,1.5499999999999998,169.7056274847714,37.22902093797257,25.0,685.0,2.55
2057,2021,DELHI,CANAL,7.449999999999999,,0.8500000000000001,3325657.829663178,828251.1696339463,22.0,1373.0,51.5
2265,2021,GOA,CANAL,7.0,6.55,0.95,2071.231517720798,1347.9614237803692,29.0,235.0,
2266,2021,GOA,CANAL,7.1,6.25,0.9,2886.1739379323626,2071.231517720798,29.0,229.0,
2268,2021,GOA,CANAL,6.9,6.15,0.4499999999999999,2523.8858928247923,1309.9618315050252,29.0,23344.0,1.6
2073,2021,GUJARAT,CANAL,7.85,5.949999999999999,,16.792855623746664,,28.0,,
2074,2021,GUJARAT,CANAL,8.15,7.75,,58.30951894845301,9.899494936611664,31.0,562.5,
4421,2021,GUJARAT,CANAL,7.7,7.550000000000001,0.3,38.34057902536163,,25.0,427.0,
1013,2021,HIMACHAL PRADESH,RIVER,7.75,8.75,0.8300000000000001,4.898979485566356,567.4504383644443,11.75,2162.5,1.0
4446,2021,HIMACHAL PRADESH,RIVER,8.0,9.0,1.12,13.711309200802088,748.3314773547883,11.55,2435.0,1.0
4447,2021,HIMACHAL PRADESH,RIVER,7.800000000000001,8.9,1.12,14.832396974191326,1600.0,11.45,1451.5,1.0
4032,2021,HIMACHAL PRADESH,RIVER,7.7,9.05,1.05,2.0,171.46428199482247,15.65,240.5,1.0
4033,2021,HIMACHAL PRADESH,RIVER,7.649999999999999,8.95,0.87,2.0,284.60498941515414,15.6,231.0,1.0
4450,2021,HIMACHAL PRADESH,RIVER,7.85,9.2,1.22,2.0,280.0,11.45,2398.5,1.0
4451,2021,HIMACHAL PRADESH,RIVER,7.649999999999999,9.2,1.42,3.1622776601683795,593.295878967653,11.45,2403.5,1.0
30009,2021,HIMACHAL PRADESH,RIVER,7.4,9.3,0.52,51.38093031466052,3130.4951684997054,17.0,250.0,2.0
1014,2021,HIMACHAL PRADESH,RIVER,7.699999999999999,8.95,0.545,2.0,115.88787684654508,14.6,198.5,1.0
1015,2021,HIMACHAL PRADESH,RIVER,7.6,9.05,0.7200000000000001,2.0,171.46428199482247,14.75,186.5,1.0
1016,2021,HIMACHAL PRADESH,RIVER,7.45,8.8,2.7,2.0,6.6332495807108,17.1,223.0,1.0
30010,2021,PUNJAB,RIVER,7.4,9.55,0.52,77.07139547199077,8694.826047713663,17.45,258.5,2.0
1814,2021,PUNJAB,RIVER,8.05,8.7,1.5,,319.8437118343895,14.65,239.5,1.0
3052,2023,ANDHRA PRADESH,DRAIN,7.4,1.05,7.15,3458.3232931581165,454.7526800360829,23.5,1914.0,27.4
3053,2023,ANDHRA PRADESH,DRAIN,7.15,5.9,2.05,185.7417562100671,7.745966692414834,25.0,12512.5,3.0
4861,2023,HARYANA,WATER TREATMENT PLANT (RAW WATER),7.4,7.35,0.3,2347.3389188611004,113.1370849898476,26.0,1110.0,1.0
3047,2023,HARYANA,WATER TREATMENT PLANT (RAW WATER),7.6,7.15,0.3,3710.7950630558944,184.66185312619388,29.0,1380.0,1.0
4464,2023,HIMACHAL PRADESH,DRAIN,7.55,8.75,1.45,264.9528259898354,42.98837052040936,20.5,378.0,1.0
3868,2023,HIMACHAL PRADESH,DRAIN,7.4,8.2,0.5,127.43625857659192,34.899856733230294,7.0,78.0,1.0
3881,2023,HIMACHAL PRADESH,DRAIN,7.8,5.0,6.05,203.9607805437114,56.56854249492381,20.0,2904.0,10.5
3879,2023,HIMACHAL PRADESH,DRAIN,7.6,3.25,3.9,456.0701700396552,105.83005244258362,18.5,4100.0,45.6
4425,2023,HIMACHAL PRADESH,DRAIN,7.9,8.5,2.15,203.9607805437114,22.13594362117865,11.5,166.5,1.0
4463,2023,HIMACHAL PRADESH,DRAIN,8.15,7.649999999999999,1.25,178.88543819998318,18.734993995195197,14.0,440.0,1.0
4474,2023,HIMACHAL PRADESH,DRAIN,7.95,9.5,0.8999999999999999,105.83005244258362,18.43908891458577,10.5,222.0,1.0
4481,2023,HIMACHAL PRADESH,DRAIN,7.25,8.05,4.4,31.416556144810016,3.4641016151377544,23.5,479.0,1.65
5253,2023,HIMACHAL PRADESH,DRAIN,7.8,7.800000000000001,0.5,274.9545416973504,53.98147830506312,11.5,107.5,1.0
4426,2023,HIMACHAL PRADESH,DRAIN,7.95,8.45,0.65,56.56854249492381,16.1245154965971,11.0,124.0,1.0
4454,2023,HIMACHAL PRADESH,DRAIN,7.9,9.1,2.85,283.72521918222213,6.324555320336759,11.5,297.5,1.0
4466,2023,HIMACHAL PRADESH,DRAIN,7.95,9.1,2.3000000000000003,339.8529093593286,6.324555320336759,11.5,318.0,1.0
5257,2023,HIMACHAL PRADESH,DRAIN,7.55,8.8,1.25,274.22618401604177,6.6332495807108,13.0,203.5,1.0
